"label","area","mean_intensity","max_intensity","min_intensity","centroid-0","centroid-1","eccentricity","solidity"
1,1093,73.39249771271729,195,11,273.70722781335775,250.92223238792315,0.76358246158495,0.903305785123967
2,1366,76.0732064421669,255,5,13.837481698389459,170.11054172767203,0.9198753347926888,0.8673015873015874
3,646,70.88854489164086,149,13,317.04334365325076,290.3034055727554,0.7346012721049677,0.9613095238095238
4,689,63.37010159651669,134,13,422.02467343976775,406.32510885341077,0.5937940478137153,0.9298245614035088
5,609,71.5008210180624,162,8,255.11986863711002,429.3333333333333,0.7194409602680238,0.9666666666666667
7,656,65.44817073170732,140,8,587.6951219512196,132.609756097561,0.844634697287018,0.9278642149929278
8,698,65.13180515759312,139,13,339.96418338108884,460.6404011461318,0.7871324057411693,0.9281914893617021
14,835,69.42514970059881,150,9,189.79760479041917,268.6491017964072,0.8552831626571301,0.8959227467811158
20,588,63.10374149659864,105,12,208.1768707482993,53.1343537414966,0.8391429465759948,0.9514563106796117
22,523,69.17782026768643,149,13,545.9254302103251,151.32887189292543,0.7646431865982347,0.8394863563402889
27,505,64.46138613861386,125,11,309.92871287128713,551.1267326732673,0.8063787550023198,0.9582542694497154
28,543,59.51749539594844,116,8,308.50828729281767,136.7366482504604,0.739262037335164,0.9172297297297297
33,965,64.24352331606218,138,9,112.55129533678756,270.8476683937824,0.8657855407197349,0.7550860719874805
35,715,66.91608391608392,120,10,194.74125874125875,217.24195804195804,0.9096487131371415,0.9322033898305084
36,589,58.79117147707979,107,16,234.21052631578948,465.87266553480475,0.8851764423741834,0.9174454828660437
42,646,66.38544891640866,139,9,221.8390092879257,382.4876160990712,0.925446525728732,0.8324742268041238
46,625,65.152,124,8,430.24,289.6224,0.8589450810523095,0.8169934640522876
81,609,57.55993431855501,101,11,91.70771756978654,27.535303776683087,0.9253886385427003,0.8365384615384616
105,930,58.081720430107524,112,8,144.58064516129033,73.10215053763442,0.8932175815962066,0.7159353348729792
108,584,59.00171232876713,120,9,412.6181506849315,524.9058219178082,0.9138221222722541,0.8427128427128427
